,subdivision,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual,jan_feb,mar_may,jun_sep,oct_dec
104,ANDAMAN & NICOBAR ISLANDS,2010,101.7,8.0,0.7,12.5,319.0,448.9,521.9,563.8,263.3,402.4,268.5,246.4,3157.1,109.8,332.2,1797.8,917.3
105,ANDAMAN & NICOBAR ISLANDS,2011,265.9,84.8,272.8,111.4,326.5,383.2,583.2,441.5,757.1,212.3,150.8,238.5,3828.0,350.7,710.7,2165.0,601.6
106,ANDAMAN & NICOBAR ISLANDS,2012,119.9,45.6,30.9,55.8,533.9,458.2,317.3,369.6,868.9,209.7,300.5,187.3,3497.6,165.6,620.5,2014.0,697.5
107,ANDAMAN & NICOBAR ISLANDS,2013,67.1,37.6,43.0,46.3,509.3,777.0,564.8,336.7,473.6,455.8,354.2,92.3,3757.8,104.7,598.6,2152.1,902.4
108,ANDAMAN & NICOBAR ISLANDS,2014,41.9,8.6,0.0,11.1,238.0,416.6,467.6,321.6,412.9,402.6,201.2,100.4,2622.4,50.5,249.1,1618.7,704.2
109,ANDAMAN & NICOBAR ISLANDS,2015,126.8,7.6,3.1,138.2,331.9,346.4,328.9,480.0,523.3,252.1,236.3,129.9,2904.6,134.4,473.2,1678.6,618.4
201,ARUNACHAL PRADESH,2010,0.6,13.2,237.8,466.9,312.7,509.9,378.0,321.5,444.2,97.7,58.9,14.2,2855.7,13.9,1017.5,1653.6,170.9
202,ARUNACHAL PRADESH,2011,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2,2193.7,91.4,634.9,1384.2,83.3
203,ARUNACHAL PRADESH,2012,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2,3440.3,93.6,724.9,2325.6,296.3
204,ARUNACHAL PRADESH,2013,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6,2042.9,59.0,626.0,1165.9,192.0
205,ARUNACHAL PRADESH,2014,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2,2403.2,120.9,466.0,1750.8,65.4
206,ARUNACHAL PRADESH,2015,30.8,47.5,97.5,287.1,238.9,637.9,329.3,595.5,374.2,65.2,33.8,29.8,2767.5,78.3,623.5,1936.9,128.8
316,ASSAM & MEGHALAYA,2010,0.5,3.1,99.6,389.3,393.4,569.7,415.1,387.0,318.3,116.2,11.6,7.6,2711.5,3.7,882.3,1690.2,135.3
317,ASSAM & MEGHALAYA,2011,11.1,11.4,109.0,92.1,238.3,316.0,395.8,302.6,221.6,30.2,11.9,3.5,1743.4,22.5,439.4,1236.0,45.6
318,ASSAM & MEGHALAYA,2012,15.2,6.9,28.8,279.1,185.8,729.7,444.3,289.2,411.6,199.4,17.1,2.3,2609.4,22.1,493.7,1874.8,218.8
319,ASSAM & MEGHALAYA,2013,1.1,9.6,44.0,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1.0,2.0,1816.4,10.7,503.5,1172.9,129.3
320,ASSAM & MEGHALAYA,2014,2.0,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35.0,3.0,0.4,2206.1,30.3,431.9,1705.5,38.5
321,ASSAM & MEGHALAYA,2015,13.4,15.5,37.5,250.9,332.5,558.5,300.1,590.9,279.9,62.6,14.0,15.2,2470.9,28.9,620.9,1729.3,91.8
431,NAGA MANI MIZO TRIPURA,2010,1.0,7.9,85.8,161.5,294.0,411.6,367.5,393.2,309.8,220.2,9.2,33.5,2295.2,8.9,541.4,1482.0,262.9
432,NAGA MANI MIZO TRIPURA,2011,12.6,3.6,51.4,81.1,334.9,374.2,313.3,367.6,258.3,92.6,2.4,0.2,1892.1,16.1,467.4,1313.4,95.2
433,NAGA MANI MIZO TRIPURA,2012,24.5,10.2,20.3,243.5,163.5,396.2,280.1,342.7,248.7,160.9,32.0,0.4,1922.9,34.7,427.3,1267.6,193.3
434,NAGA MANI MIZO TRIPURA,2013,0.2,5.7,19.7,60.3,348.9,206.6,255.9,291.3,241.4,125.6,0.3,1.2,1557.2,5.9,428.9,995.2,127.1
435,NAGA MANI MIZO TRIPURA,2014,1.2,21.0,25.4,49.6,192.5,268.3,295.7,372.3,300.9,69.6,3.3,0.1,1599.9,22.2,267.5,1237.2,73.0
436,NAGA MANI MIZO TRIPURA,2015,14.4,14.2,21.6,253.5,198.3,283.9,413.6,334.2,255.9,118.7,3.9,10.0,1922.4,28.7,473.4,1287.7,132.6
546,SUB HIMALAYAN WEST BENGAL & SIKKIM,2010,5.6,19.6,77.6,176.6,335.9,558.1,593.4,461.3,308.1,66.2,7.9,2.2,2612.3,25.2,590.0,1920.8,76.3
547,SUB HIMALAYAN WEST BENGAL & SIKKIM,2011,8.5,19.9,71.2,135.0,247.8,419.8,612.3,470.3,356.3,46.7,26.7,4.3,2418.7,28.4,453.9,1858.6,77.7
548,SUB HIMALAYAN WEST BENGAL & SIKKIM,2012,15.3,13.9,45.5,159.8,202.4,604.2,684.5,332.7,434.7,119.4,12.5,7.4,2632.2,29.2,407.7,2056.0,139.3
549,SUB HIMALAYAN WEST BENGAL & SIKKIM,2013,3.0,23.6,32.1,114.7,296.5,404.9,588.4,416.3,308.0,199.8,16.1,2.7,2406.1,26.7,443.4,1717.6,218.5
550,SUB HIMALAYAN WEST BENGAL & SIKKIM,2014,0.2,26.6,37.7,47.9,308.6,543.2,384.6,563.3,371.5,31.2,5.3,2.4,2322.6,26.9,394.2,1862.6,38.9
551,SUB HIMALAYAN WEST BENGAL & SIKKIM,2015,15.7,15.0,64.8,149.0,304.6,508.2,393.3,626.6,354.9,53.6,23.8,9.0,2518.6,30.7,518.5,1883.0,86.4
661,GANGETIC WEST BENGAL,2010,0.2,10.3,8.0,15.9,127.5,189.3,196.3,192.6,192.6,96.2,6.3,29.7,1064.8,10.5,151.3,770.7,132.2
662,GANGETIC WEST BENGAL,2011,2.5,2.7,40.5,75.0,132.6,434.5,219.9,443.2,295.9,36.9,1.3,1.4,1686.5,5.2,248.1,1393.6,39.6
663,GANGETIC WEST BENGAL,2012,40.7,15.3,4.4,57.7,44.2,146.6,315.0,261.4,246.9,64.2,47.0,24.6,1268.0,56.0,106.3,969.9,135.8
664,GANGETIC WEST BENGAL,2013,2.5,10.0,4.8,45.6,195.9,233.4,263.2,401.4,254.0,353.2,0.0,0.0,1764.1,12.5,246.3,1152.0,353.3
665,GANGETIC WEST BENGAL,2014,0.9,42.2,19.9,1.9,124.4,193.6,298.7,292.6,229.5,56.9,0.1,0.6,1261.4,43.1,146.2,1014.4,57.7
666,GANGETIC WEST BENGAL,2015,12.9,5.5,19.3,88.7,57.6,247.2,633.1,260.6,164.0,32.7,2.3,6.3,1530.3,18.4,165.6,1304.9,41.3
776,ORISSA,2010,8.8,1.2,5.6,7.8,93.0,146.4,304.9,282.7,236.0,133.0,35.6,37.2,1291.9,9.9,106.4,969.9,205.7
777,ORISSA,2011,3.7,16.2,4.9,58.2,75.6,210.1,199.6,358.6,398.7,20.2,0.1,0.4,1346.2,19.8,138.7,1167.0,20.7
778,ORISSA,2012,50.8,3.6,0.9,34.8,21.3,169.6,324.3,417.0,242.4,66.0,72.1,3.1,1405.9,54.4,57.0,1153.3,141.3
779,ORISSA,2013,3.3,7.8,2.1,53.6,57.7,272.6,380.0,254.9,208.1,391.0,1.2,0.0,1632.4,11.2,113.4,1115.6,392.2
780,ORISSA,2014,0.0,17.6,25.1,11.7,111.9,92.2,496.2,386.3,281.1,111.8,2.2,0.9,1536.9,17.7,148.7,1255.7,114.8
781,ORISSA,2015,15.1,3.3,10.5,67.6,32.6,238.6,294.8,264.0,237.0,24.7,6.2,15.6,1210.1,18.4,110.7,1034.5,46.5
891,JHARKHAND,2010,0.2,2.3,0.9,6.3,29.2,92.6,170.2,155.1,160.5,55.1,4.7,20.0,697.1,2.5,36.4,578.4,79.8
892,JHARKHAND,2011,3.3,2.5,6.4,25.4,55.0,349.0,181.8,403.2,324.6,23.3,0.0,0.1,1374.7,5.8,86.8,1258.7,23.4
893,JHARKHAND,2012,34.6,10.3,1.5,9.6,6.6,121.1,287.2,282.4,217.6,37.8,48.6,7.6,1065.0,45.0,17.7,908.3,94.0
894,JHARKHAND,2013,1.1,17.9,1.6,22.3,85.0,181.5,211.1,278.1,173.8,281.1,0.0,0.0,1253.6,19.0,109.0,844.5,281.1
895,JHARKHAND,2014,9.9,47.5,22.9,1.9,98.2,139.7,321.3,290.9,178.2,44.9,0.0,1.2,1156.6,57.4,123.1,930.1,46.1
896,JHARKHAND,2015,12.2,2.6,21.6,55.5,25.5,183.3,429.7,240.7,85.1,22.7,0.2,2.7,1081.8,14.8,102.6,938.8,25.6
1006,BIHAR,2010,0.1,1.1,0.2,6.5,44.4,80.9,191.2,158.4,105.7,33.6,5.0,2.1,629.2,1.3,51.1,536.2,40.7
1007,BIHAR,2011,4.2,7.7,9.2,23.9,74.5,211.0,241.1,278.7,234.1,10.0,2.0,0.9,1097.1,11.8,107.6,964.8,12.9
1008,BIHAR,2012,18.1,2.7,7.3,20.4,18.8,96.2,354.0,240.4,233.8,34.3,6.4,0.0,1032.4,20.9,46.5,924.4,40.6
1009,BIHAR,2013,5.1,22.6,0.6,32.3,89.5,183.3,182.0,213.6,143.3,197.1,0.4,0.0,1069.9,27.7,122.4,722.2,197.5
1010,BIHAR,2014,17.0,33.5,8.4,0.7,103.9,115.2,265.4,307.6,160.3,47.8,0.0,1.2,1061.0,50.5,112.9,848.6,49.0
1011,BIHAR,2015,12.8,1.8,27.2,38.7,39.5,122.1,231.5,287.0,101.7,10.4,0.0,0.0,872.7,14.6,105.5,742.3,10.4
1121,EAST UTTAR PRADESH,2010,2.2,10.0,0.0,0.0,14.7,23.9,220.8,215.9,184.5,15.5,4.5,0.1,692.2,12.2,14.7,645.2,20.1
1122,EAST UTTAR PRADESH,2011,1.0,2.7,1.6,2.9,32.2,163.8,197.9,232.1,146.4,0.6,0.0,0.0,781.2,3.7,36.7,740.2,0.6
1123,EAST UTTAR PRADESH,2012,20.3,1.2,3.4,2.8,0.2,18.5,234.2,156.0,164.4,0.7,0.3,0.7,602.7,21.5,6.4,573.1,1.8
1124,EAST UTTAR PRADESH,2013,6.1,59.6,2.7,8.7,1.1,309.7,230.0,246.1,78.2,97.4,0.5,1.1,1041.4,65.8,12.6,864.0,99.0
1125,EAST UTTAR PRADESH,2014,47.4,25.8,15.4,1.7,10.7,47.8,224.5,138.1,106.7,74.7,0.0,8.4,701.2,73.3,27.7,517.1,83.1
1126,EAST UTTAR PRADESH,2015,30.0,4.1,48.2,23.2,8.6,95.3,179.0,175.8,21.9,11.8,0.5,4.9,603.3,34.1,80.0,472.0,17.2
1236,WEST UTTAR PRADESH,2010,3.2,13.7,0.2,0.4,9.3,12.5,282.0,213.8,263.9,4.7,12.8,4.1,820.7,16.8,10.0,772.3,21.6
1237,WEST UTTAR PRADESH,2011,2.1,10.4,3.9,2.8,29.6,175.9,215.9,232.3,101.7,0.7,0.5,1.5,777.4,12.5,36.3,725.9,2.7
1238,WEST UTTAR PRADESH,2012,14.5,0.1,1.4,4.7,0.3,4.0,145.1,149.1,67.8,0.5,0.1,2.0,389.6,14.5,6.4,366.0,2.7
1239,WEST UTTAR PRADESH,2013,20.4,69.5,3.5,1.6,2.1,190.6,233.9,287.1,52.2,61.2,1.7,8.9,932.8,89.9,7.2,763.8,71.8
1240,WEST UTTAR PRADESH,2014,48.3,29.4,22.6,5.3,11.0,22.0,151.6,81.0,84.7,14.6,0.0,16.3,486.9,77.7,39.0,339.4,30.8
1241,WEST UTTAR PRADESH,2015,31.6,7.2,66.8,21.0,8.1,72.0,194.2,143.5,26.5,6.9,2.0,3.0,582.7,38.8,95.9,436.1,11.9
1351,UTTARAKHAND,2010,11.4,62.1,3.8,13.8,47.0,72.7,455.8,335.7,389.7,8.0,4.5,19.5,1424.0,73.6,64.5,1253.9,32.0
1352,UTTARAKHAND,2011,30.9,65.2,18.0,30.9,84.2,223.1,433.3,523.7,148.4,3.4,1.2,2.3,1564.7,96.1,133.1,1328.5,6.9
1353,UTTARAKHAND,2012,38.8,11.9,28.1,39.2,9.1,46.0,387.1,419.5,220.6,4.7,3.4,15.5,1223.9,50.8,76.4,1073.1,23.6
1354,UTTARAKHAND,2013,73.0,188.3,22.0,24.7,18.2,488.9,413.4,359.4,111.3,29.1,3.2,3.8,1735.4,261.3,65.0,1373.0,36.2
1355,UTTARAKHAND,2014,45.9,99.9,68.4,37.6,52.9,62.9,462.7,264.2,107.9,40.8,0.0,44.3,1287.4,145.8,158.8,897.7,85.1
1356,UTTARAKHAND,2015,54.5,62.6,127.3,57.3,38.0,186.6,337.0,305.3,52.6,16.8,2.4,7.2,1247.6,117.0,222.6,881.5,26.4
1466,HARYANA DELHI & CHANDIGARH,2010,4.8,10.2,0.5,0.8,5.9,29.1,189.3,198.5,183.9,1.1,3.5,12.8,640.5,15.0,7.2,600.8,17.5
1467,HARYANA DELHI & CHANDIGARH,2011,0.7,26.7,6.9,8.9,28.7,94.4,85.0,127.3,133.1,0.0,0.0,0.4,512.0,27.5,44.4,439.8,0.4
1468,HARYANA DELHI & CHANDIGARH,2012,8.2,0.2,0.1,11.8,3.8,5.3,68.1,196.6,90.7,2.4,0.6,3.5,391.4,8.4,15.8,360.7,6.5
1469,HARYANA DELHI & CHANDIGARH,2013,21.1,52.2,5.3,3.3,1.4,62.1,96.5,161.9,42.8,10.9,1.7,2.1,461.2,73.2,10.0,363.3,14.7
1470,HARYANA DELHI & CHANDIGARH,2014,13.0,17.3,26.8,7.5,20.3,25.9,72.3,34.8,67.3,10.5,0.2,9.6,305.5,30.3,54.6,200.2,20.3
1471,HARYANA DELHI & CHANDIGARH,2015,12.4,6.6,71.8,34.8,8.4,43.7,130.3,89.2,32.1,3.7,2.3,0.2,435.3,18.9,114.9,295.2,6.2
1581,PUNJAB,2010,3.8,13.8,1.9,0.7,6.0,41.8,143.8,96.7,112.8,4.7,1.1,24.4,451.5,17.6,8.6,395.1,30.2
1582,PUNJAB,2011,3.5,35.6,8.2,17.8,18.9,162.9,120.9,193.5,140.2,0.0,1.0,2.6,705.2,39.2,44.9,617.5,3.6
1583,PUNJAB,2012,62.6,3.2,1.9,31.1,1.6,11.9,120.2,135.1,112.3,2.2,0.4,11.0,493.6,65.8,34.7,379.6,13.6
1584,PUNJAB,2013,9.3,50.1,11.6,3.4,3.6,120.3,117.9,217.1,24.4,16.2,6.1,6.6,586.6,59.4,18.6,479.7,28.9
1585,PUNJAB,2014,21.8,20.1,30.3,24.5,20.8,20.6,76.3,41.9,105.8,6.0,0.7,14.1,382.7,41.9,75.5,244.6,20.7
1586,PUNJAB,2015,17.7,31.3,68.5,29.8,16.7,48.3,130.2,88.6,69.2,9.0,0.8,0.7,510.8,49.0,115.0,336.3,10.5
1696,HIMACHAL PRADESH,2010,25.5,96.6,45.1,60.3,81.4,108.5,291.8,274.1,176.7,30.5,10.8,58.1,1259.4,122.1,186.8,851.2,99.4
1697,HIMACHAL PRADESH,2011,43.9,97.4,49.7,62.4,45.1,118.3,177.7,380.2,120.3,6.0,0.3,6.9,1108.3,141.3,157.3,796.6,13.2
1698,HIMACHAL PRADESH,2012,92.3,51.3,28.4,55.9,9.4,31.1,241.5,280.6,133.1,3.1,3.2,21.8,951.6,143.5,93.7,686.3,28.1
1699,HIMACHAL PRADESH,2013,79.9,182.6,76.6,28.9,32.6,233.6,208.8,240.0,65.8,21.8,16.6,24.8,1211.9,262.5,138.1,748.2,63.2
1700,HIMACHAL PRADESH,2014,69.6,124.9,125.2,60.6,68.9,51.7,203.6,146.7,84.6,19.3,4.5,49.3,1008.7,194.5,254.6,486.6,73.0
1701,HIMACHAL PRADESH,2015,67.2,156.6,192.5,84.9,45.0,85.8,249.9,195.9,75.5,17.7,14.5,25.0,1210.5,223.9,322.3,607.2,57.2
1811,JAMMU & KASHMIR,2010,30.9,142.2,34.9,63.9,128.3,67.4,137.3,253.2,65.0,25.0,13.6,36.1,997.9,173.2,227.1,522.9,74.7
1812,JAMMU & KASHMIR,2011,43.4,211.6,97.8,89.0,32.4,72.5,81.6,131.2,72.0,19.4,12.9,23.8,887.6,254.9,219.2,357.3,56.1
1813,JAMMU & KASHMIR,2012,150.9,95.8,45.2,86.6,48.9,32.6,118.8,264.9,106.7,15.7,10.8,57.8,1034.7,246.7,180.7,523.0,84.3
1814,JAMMU & KASHMIR,2013,52.2,136.4,41.9,47.4,47.4,80.5,125.1,219.1,41.2,34.4,13.4,20.3,859.3,188.6,136.7,465.8,68.1
1815,JAMMU & KASHMIR,2014,75.8,64.0,153.1,76.1,52.7,25.3,100.5,134.6,362.8,32.2,14.1,2.3,1093.4,139.8,281.9,623.2,48.5
1816,JAMMU & KASHMIR,2015,27.9,187.2,341.4,173.3,64.6,121.4,233.2,129.2,130.2,87.1,38.1,39.3,1572.8,215.1,579.3,614.0,164.5
1926,WEST RAJASTHAN,2010,1.9,1.7,0.6,0.6,3.0,49.5,129.9,163.4,96.5,0.9,20.1,5.2,473.2,3.6,4.1,439.2,26.2
1927,WEST RAJASTHAN,2011,0.0,11.8,1.5,1.5,7.8,24.4,88.5,166.8,116.3,0.1,0.0,0.0,418.7,11.8,10.7,396.1,0.1
1928,WEST RAJASTHAN,2012,0.5,0.0,0.0,9.5,10.4,5.3,40.4,166.7,92.0,1.9,0.0,0.6,327.3,0.5,19.9,304.3,2.5
1929,WEST RAJASTHAN,2013,8.6,21.8,4.2,3.1,1.7,37.6,104.5,138.2,58.7,10.1,1.0,0.0,389.4,30.4,8.9,339.0,11.1
1930,WEST RAJASTHAN,2014,0.8,2.2,4.7,8.4,23.0,13.8,94.3,69.6,84.9,0.5,0.2,0.0,302.4,3.0,36.0,262.6,0.7
1931,WEST RAJASTHAN,2015,1.4,0.9,30.3,25.2,15.5,53.2,234.6,60.5,35.7,1.1,0.1,0.0,458.4,2.3,71.0,384.0,1.2
2041,EAST RAJASTHAN,2010,1.9,2.4,0.5,0.4,0.7,27.3,196.2,275.9,128.9,0.8,49.5,5.0,689.4,4.3,1.6,628.3,55.2
2042,EAST RAJASTHAN,2011,0.0,11.2,0.2,0.5,5.1,140.9,193.6,284.1,166.4,0.0,0.0,0.0,802.1,11.2,5.9,784.9,0.0
2043,EAST RAJASTHAN,2012,1.9,0.0,0.0,3.6,9.5,11.2,170.5,365.0,131.3,0.5,0.0,0.1,693.6,1.9,13.1,678.0,0.6
